"run","final_fitness","evaluations","runtime"
1,1122.43059184649,100000,19.5781679153442
2,1003.78968733392,100000,19.7369523048401
3,1126.96744363892,100000,19.8565812110901
4,1003.41496068769,100000,19.7059228420258
5,1003.60232401081,100000,19.5500733852386
6,1006.89237581642,100000,19.6333417892456
7,1003.47741512873,100000,19.2333605289459
8,1130.33031423474,100000,19.663049697876
9,1003.66477845185,100000,19.3851606845856
10,1025.18123905116,100000,19.3515439033508
